Season,EpisodeNumber,Episode,ImageURL,BigIdea,Disappearance,Notes
1,1,"""Rollercoaster""",https://static.wikia.nocookie.net/phineasandferb/images/b/b1/Flying_rollercoaster.jpg/revision/latest/scale-to-width-down/200?cb=20120121114044,"They build abackyard roller coaster. They also trained monkeys to juggle (mentioned, happened before the roller coaster).","Doofenshmirtz's giant magnet and Magnetism Magnifier pick it up.It ends up atMelissa Chase's backyard. (""Murphy's Lard"")",The rollercoaster goes all over town.
1,2,"""Lawn Gnome Beach Party of Terror""",https://static.wikia.nocookie.net/phineasandferb/images/7/7e/Backyard_beach_revealed.jpg/revision/latest/scale-to-width-down/200?cb=20141201034253,"They build abeach in their backyardand do surfing contests, limbo contests, sandcastle building contests, etc.","Doofenshmirtz's Destruct-inator sucks up all the water, then Phineas pushes a button to put up the fence, hiding the beach before Mom enters. It's unknown what happened to the rest of the beach afterwards.",This is one of the most near-impossible plans since the houses behind Phineas and Ferb disappear.
1,3,"""Flop Starz""",https://static.wikia.nocookie.net/phineasandferb/images/2/28/Flop_Starz.jpg/revision/latest/scale-to-width-down/200?cb=20111208034515,They becomeone-hit wonderswith asmash hit song.,Building with ad: Gets demolished.Band: They retire.,The boys don't know theirmomused to be a one-hit wonder herself under the moniker Lindana.
1,4,"""The Fast and the Phineas""",https://static.wikia.nocookie.net/phineasandferb/images/1/1d/42_lands_on_the_road.jpg/revision/latest/scale-to-width-down/200?cb=20190910060426,They enter a race with alife-size remote control carmodified from their mother's vehicle.,"The car goes through a car wash, which removes all the modifications. (There were four other ways this project could have disappeared)",The boys race in theSwamp Oil 500.
1,5,"""Lights, Candace, Action!""",https://static.wikia.nocookie.net/phineasandferb/images/f/f3/Reassuring_Candace_about_the_rubber_snakes.jpg/revision/latest/scale-to-width-down/200?cb=20190910060819,They become movie directors and produce amoviestarring Candace.,"Doofenshmirtz's Age Accelerator-inator zaps the adolescent cinema audience and turns them into pensioners, who hate the movie.",The boys are hired thanks to the incredible number of hits on their homemade-video website.
1,6,"""Raging Bully""",https://static.wikia.nocookie.net/phineasandferb/images/d/d5/Phineas_punching_a_string_of_sausages.jpg/revision/latest/scale-to-width-down/200?cb=20080805183226,Phineas thumb wrestles Buford after accidentally dropping ice cream on him.,"Doofenshmirtz's Slave-inator mind controls the crowd into cleaning everything up.Candace takes a picture of the match, but her thumb covers the lens.",The boys build an arena to thumb wrestle in theGoogolplex Mallparking lot.
1,7,"""Candace Loses Her Head""",https://static.wikia.nocookie.net/phineasandferb/images/e/ec/Candace_and_her_monument.jpg/revision/latest/scale-to-width-down/200?cb=20120127182126,Theycarve Candace's face into Mount Rushmoreduring a trip.,"A lava flow, spawned by Doofenshmirtz's Drill-inator, causes the face to fall apart.Their progress was blocked by the gushing of Old Reliable Geyser and a fake knockoff by the Fireside Girls.",Their work is intended as a birthday present for Candace.
1,8,"""I, Brobot""",https://static.wikia.nocookie.net/phineasandferb/images/2/25/Circle_of_brobots.jpg/revision/latest/scale-to-width-down/200?cb=20250212005012,They build a second-generation robot-assembling device to createrobot versions of themselves.,"Robot Machine:N/ABrobots:Doofenshmirtz's giant magnet attaches to Santa's sleigh, and proceeds to pick up the Brobots. One of the Ferbots is bagged by Candace, then taken away by a garbage truck. It is unknown what happened to the bot's creations.","Realizing there are too many plans for the two of them to carry out, the boys enlist the help of their newly created robots. A total of six plans are shown completed, with two others designed but not explicitly built."
1,9,"""Run Away Runway""",https://static.wikia.nocookie.net/phineasandferb/images/2/21/P%26FClothes.png/revision/latest/scale-to-width-down/200?cb=20210605053454,"They build a cold-fusion reactor, but then decide to become fashion designers instead and createtheir own style of clothes.","Doofenshmirtz's clones set a new trend for lab coats, so everyone starts wearing them instead.",The boys' collection rocks the fashion world.
1,10,"""The Magnificent Few""",https://static.wikia.nocookie.net/phineasandferb/images/d/de/Horse_riding.JPG/revision/latest/scale-to-width-down/200?cb=20120915185920,They go on a hecticcow rounduparoundtown.,"They gather the cattle and a fence, made by termites eating part of a roller coaster, falls around them.",Phineas and Ferb imitate cowboys for the drive.
