Season,EpisodeNumber,Episode,Inventions,InventionImageURL,Scheme,Failure
1,1,"""Rollercoaster""",Magnetism MagnifierMagnetism Magnifier,https://static.wikia.nocookie.net/phineasandferb/images/b/bd/Rollercoaster135.jpg/revision/latest/scale-to-width-down/200?cb=20120122101503,He plans to reverse the rotation of the Earth by covering the eastern seaboard in tin foil and using a giant magnet (and his Magnetism Magnifier) to pull it west.,"When Dr. Doofenshmirtz uses his Magnetism Magnifier, he only succeeds in ripping the tin foil right off of the eastern seaboard, gathering into a giant ball of tin foil as it hurtles towards them.Perryuses a nearby helicopter to dodge the ball at the last second, failing to save Doof from getting crushed."
1,2,"""Lawn Gnome Beach Party of Terror""",Destruct-inatorDestruct-inator,https://static.wikia.nocookie.net/phineasandferb/images/6/63/Destruct-inator.png/revision/latest/scale-to-width-down/200?cb=20100918224313,"Because of humiliation back in his childhood years, Dr. Doofenshmirtz gathers all the lawn gnomes in theTri-State Areaand plans to destroy them.","Perry kicks Doof into the lever, shooting all gnomes onto Phineas and Ferb'sbeach."
1,3,"""Flop Starz""",Giant Building RobotGiant Building Robot,https://static.wikia.nocookie.net/phineasandferb/images/d/d5/Building_robot.png/revision/latest/scale-to-width-down/200?cb=20090606160841,He builds a giant robot in an attempt to take over the Tri-State Area.,"After escaping robotic arms by blowing pepper, Perry causes the robot to sneeze them out. Soon, the robot accidentally steps on Doof."
1,4,"""The Fast and the Phineas""",Deflate-inator/Deflate-inator RayDeflate-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He creates a ray to deflate every inflatable in the Tri-State Area, but has the poor foresight to purchase a blimp to mount the machine in.","After using it on a mirror, Doofenshmirtz hits his own blimp."
1,5,"""Lights, Candace, Action!""",Age-Accelerator-inatorAge-Accelerator-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He speeds up the aging of his family's special cheese.,"Perry angers Doofenshmirtz, tricking him into turning the invention to the highest level. The invention blows up after Perry protects himself."
1,6,"""Raging Bully""",Slave-inatorSlave-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He hypnotizes everyone into doing whatever he tells them to do, especially help him celebrate his birthday. There is also a ""Clean Up Party Mess"" button.","Perry is cornered when Doof is about to spill ice cream on him. It hits Phineas during a thumb war with Buford. However, it was caused when Perry calls a whale who knocks the ice cream cone right out of Doof's hand. Doofenshmirtz manages to escape with his doonkelberry cake, but a swarm ofDoonkelberry Batsthat Perry had earlier summoned to free him from Doof's trap arrive and attack him."
1,7,"""Candace Loses Her Head""",Drill-inatorDrill-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He plans to dig to China and build a toll road, with which he hopes to become rich.","After Perry drills under the glass wall into the Drill-Inator, they are chased by lava from the center of the earth. Perry escapes. Doof does, too, but he lands on a geyser. The geyser sends him flying."
1,8,"""I, Brobot""",Giant MagnetPlans for magnet,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He tries to erase all of the embarrassing messages he left on his girlfriend's answering machine.,"Perry stops Doofenshmirtz's crane, who nearly crushes Perry until Santa picks up the magnet with his sleigh."
1,9,"""Run Away Runway""",Copy-and-Paste-inatorCopy-and-Paste-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He creates copies of himself to do all of his waiting in lines for him.,"An ugly copy escapes the garbage can, causing Doofenshmirtz to delete him. He presses the wrong button. The ugly duplicate disappears, along with the others."
1,10,"""The Magnificent Few""",Termite Controlling HelmetTermite Controlling Helmet,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He plans to use brain-controlled termites to destroy all the wood in the Tri-State Area so he can sell aluminum siding.,"After they escape the self-destructed lair, Perry reverses the helmet. The termites control themselves, and they start to devour Doof and a rollercoaster."
