season,episode,speaker,line
3,27,Lawrence,"Goodbye boys, have a great day, I'm off to work."
3,27,Phineas,"Goodbye dad, have fun buying from auctions and private sales performing minor refurbishments to the purchase items, marking up the price and then selling them to your customers!"
3,27,Ferb,(To the camera) Our dad sells antiques.
3,27,Phineas,"You know Ferb, it's strange how we wave our hands when we say goodbye. It seems so arbitrary. Why don't people jump up and down or stick out their tongues, or slap their thighs?"
3,27,Phineas,"Well, if by that you mean we should create a whole new form of communication, then I couldn't agree more! That was some nice gesturing, Ferb. Do some more!"
3,27,Phineas,"Ah. I...know...what...we're...going...to do...spatula! Oh, today...I really should have known that from the context."
3,27,Phineas,"Oh, here's another one! Hey...where's...spatula! Oh, context again..."
3,27,Major Monogram,"Ah Agent P. Sorry I'm running a little late this morning. Our satellites haven't picked up any Inator activity coming from Doofenshmirtz, but that's no indication that he isn't up to something. We want you to get down there and have a little look-see. Good hunting Agent P."
3,27,Phineas,"Finally when someone sneezes rather than say gesundheit, just play flugelhorn and give him your left shoe. I think we nailed down the non-verbal cues. Now let's look at the syntax!"
3,27,Linda,"Candace? What's wrong, honey?"
3,27,Candace,"Mom, they're doing stuff out there!"
3,27,Linda,"(looks at the boys) Candace, they're just writing on a whiteboard."
3,27,Candace,"Yes, that's it, they're plotting. And you know what that leads to. Implementing-guh!"
3,27,Linda,"Candace, you need to lighten up a little. Take it easy. Do you know what I do to relax?"
3,27,Candace,You eat some pie and then laid down on that old sensory deprivation tank we keep in the basement.
3,27,Linda,That's right! Would you like to try it?
3,27,Candace,"Um, I'm gonna go with no, but thank you."
3,27,Linda,Well you should still try to relax.
3,27,Candace,"Mom, I don't need to relax, I need to bust Phineas and Ferb."
3,27,Linda,"Well listen sweetie, you said so yourself, they're just plotting, right? That gives you plenty of time to go to the mall before they start implementing-guh. (makes hand gestures)"
3,27,Candace,"Yeah, that makes a lot of sense! Maybe—Hey, wait a second, are you making fun of me?"
3,27,Linda,Maybe just a little. (leaves)
3,27,Candace,"She's right, I probably have plenty of time to go to the mall!"
3,27,Phineas,"Okay, Ferb, let's start implementing!"
3,27,Doofenshmirtz,"(adjusting something on Norm's back) Just one more bolt right behind- (Perry♪) So, Perry the Platypus, we meet again! But this time, the advantage is mine... (to Norm) Hey, what are you waiting for Norm, we rehearsed this like a thousand times! I say ""Ah, Perry the Platypus, we meet again, only this time the advantage is mine"", you go and get him!"
3,27,Norm,Going and getting!
3,27,Doofenshmirtz,"(writing) Note to self, say the --- for replacing Norm's head. (Norm captures Perry in a bag) Okay, much better (to Perry) this is a good look for you!"
3,27,Isabella,Hi guys. Whatcha doin'?
3,27,Phineas,Erb-Ferb Atin-Lerb!
3,27,Isabella,"Oh, creating a whole new form of communication today, are we?"
3,27,Phineas,"Yeah, what do you think?"
3,27,Isabella,Sounds fun! What do you call it?
3,27,Phineas,"Ferb Latin! Where you take the first letter of every word, move it to the end, and then you say erb! So Ferb becomes erb-ferb, and Latin becomes atin-lerb! Two letter words stay the same, like or stays or. All the fun of Pig Latin, and it's safe for vegetarians to use!"
3,27,Isabella,"Oh, Phineas, I think your new language is onderful-werb!"
