season,episode,speaker,line
1,27,Lawrence,"And that is why the 18th century sewing thimble was not only a slice of history, but a compelling example of American grit and perseverance. Hmm? Hmm? Hmm? Yes?"
1,27,Phineas,"Great, Dad."
1,27,Betty Jo,"Oh, that was wonderf... (She fake snores)"
1,27,Linda,Mom!
1,27,Betty Jo,"Oh, I'm kidding! Hon, your speech is gonna be a big hit at the antique thimble symposium."
1,27,Lawrence,It's gonna knock 'em dead.
1,27,Linda,"Uh, which we're gonna be late for if we don't get on the road! Thanks again for looking after the kids today. Candace is skating at the park, all numbers are on the fridge."
1,27,Lawrence,"Be good for your grandparents, boys!"
1,27,Phineas,Bye!
1,27,Grandma Betty Jo,You wanna go down and embarrass your sister at the park?
1,27,Phineas and Clyde,Yeah.
1,27,Stacy,"You got it, Candace! You may be rusty, but you got it!"
1,27,Candace,"Uh, I can't turn around...or stop, but I got it! I wonder if Jeremy's skating here today. Does this helmet make my butt look big?"
1,27,Phineas,See? I told you Ferb was a good skater.
1,27,Betty Jo,"Ooh, that's my boy!"
1,27,Stacy,"Hey, isn't that your family?"
1,27,Clyde,Yoo-hoo!
1,27,Betty Jo,Hello!
1,27,Phineas,"Hey, Candace! Jump in!"
1,27,Candace,"I am so not with them! Turn me around, Stacy!"
1,27,Phineas,"So, Grandma, where did you get the moves?"
1,27,Betty Jo,"Well, boys, I was quite the skater in my– (She skates into someone) Oof! Watch where you're--"
1,27,Woman,(Gasps) Betty Jo? Of the Tri-State Bombers?
1,27,Betty Jo,Hildegard? Of the Saskatoon Slashers?
1,27,Hildegard,"I thought I smelled the last of you back in '57, when I whipped your sorry behind, took the trophy and became the rightful Queen of the Derby!"
1,27,Phineas,"Whoa, Grandma, you were in the rollerskating derby?"
1,27,Betty Jo,"Not only was I in it, I was champ! It was years ago."
1,27,Betty Jo,"(Narrating) The night of the final match between the Bombers and the Slashers. We were on our final lap. What was left of my team used our signature move ""The Whip"" to send me to the finish line. Hildegard's team had the same idea. The trophy was mine until..."
1,27,Betty Jo,You only won because you cheated!
1,27,Hildegard,"""Anything goes"", remember?"
1,27,Betty Jo,"Well, what do you say we try it again, cheater?"
1,27,Hildegard,"Anytime, anywhere."
1,27,Betty Jo,You skate like a water buffalo!
1,27,Hildegard,(in background) You couldn't win a race against a one-legged stuffed owl.
1,27,Betty Jo,(in background) Take your teeth out or I will do it for you!
1,27,Candace,"Hi, Jeremy."
1,27,Jeremy,"Uh, Candace? Why is my grandma yelling at your grandma?"
1,27,Candace,That's your grandmother?
1,27,Hildegard,"Come on, Jeremy. You and your little sister are on my team. Suzy!"
1,27,Suzy,"Yes, Grandma?"
1,27,Hildegard,"Me, you and Jeremy are a team. Got it?"
1,27,Betty Jo,"So I need two of you kids on my team, okay?"
1,27,Candace,"Well, you can have Phineas and Ferb, Grandma. I'm not–"
1,27,Suzy,"But it's not fair, Candace. Our team has two girls and one boy, so you need to be on your grandma's team so it's fair. Cause it's not fair if it's two boys and one girl against two girls and one boy, so you have to skate, Candace, or else it won't be fair."
1,27,Phineas,"Then it's you, Ferb, and Grandma! You'll make a great team!"
1,27,Candace,B-But–
1,27,Jeremy,"I guess it's set, then. We gotta do it for our grandmas. Right, Candace?"
1,27,Candace,"Yeah, (She chuckles) right."
1,27,Suzy,"Psst. See ya on the track, chump!"
1,27,Candace,"Yeah, great. Hey, wait! There's nowhere to have a rollerskating derby, remember? The old derby track got torn down and turned into a tattoo parlor!"
1,27,Phineas,Leave the rink to us!
1,27,Major Monogram,"Hmm. Uh, nice entrance, Agent P. But you do realize there's an elevator over there, right? Okay, just pointing it out. Doofenshmirtz is up to something. I want you to get out there and put a stop to it."
