season,episode,speaker,line
4,27,Candace,"(on phone) I'm totally sunk, Stace! I've been working on Jeremy's birthday present for months, but it's not even close to as good as I want it to be. (Cut to reveal she's working on a popup book showing their first kiss.) Ugh! Lame!"
4,27,Stacy,"Oh, come on, Candace. You're overthinking this. (The cashier puts a watermelon on the tread.) Jeremy'll love anything you make. What's your worry?"
4,27,Candace,I just wanna do something really special to show Jeremy how much I care. Something way over the top! Something that defies the laws of physics and excedes the boundaries of the imaginatio— (realizes what she's talking about) Oh no.
4,27,Stacy,"Oh, yes."
4,27,Candace,No no no no no! Anything but that!
4,27,Stacy,You're going to have to ask for help from...
4,27,Candace,Phineas and Ferb. (Puts her head in her hand like she has a migraine.) Uggggh.
4,27,Phineas,"Well, now that we've ironed out the bugs in our fusion-powered popper, the popcorn is nice and fluffy...and no longer glowing, so we're good to go. (Candace comes in mumbling under her breath.) Uh, what's that, Candace?"
4,27,Buford,"Lemme talk to her, guys. I speak sullen."
4,27,Buford,Candace messed up and now Jeremy's birthday is ruined.
4,27,Candace,Hey!! You completely misinterpreted what I said!
4,27,Buford,Nuance.
4,27,Phineas,"So what's goin' on, Candace?"
4,27,Candace,"(sighs) It's Jeremy's birthday and I wanna do something really special to show I care and you guys are good at doing, you know, what you do, and, well, all I have is this scrapbook and I don't wanna blow it so can you help me, huh? (gives Phineas the book)"
4,27,Phineas,"Wow! This is great! It's like a blueprint! Ferb, I know what else we're gonna do today!"
4,27,Candace,"Great! Start workin' your magic and, no pressure, but it's gotta be PERFECT!!!"
4,27,Phineas,We'll do our best!
4,27,Candace,(mumbling) Thnk yu.
4,27,Buford,"Oh. She said, ""Where's Perry?"""
4,27,Candace,You have got to work on your sullen!
4,27,Major Monogram,"Hey, there, Agent P! Well, it's Horrific Movie Night at my house where a bunch of agency guys get together and make fun of ridiculously bad movies."
4,27,Carl,He's always the guy shushing everybody.
4,27,Major Monogram,"Well, there's a time for fun and a time to pay attention."
4,27,Carl,Pfft.
4,27,Major Monogram,"Anyway, Agent P, when we went to rent tonight's horrific horror classic, Night of the Living Torso, it was already gone. In fact, all the movies within the horror genre throughout Danville have been checked out, which is definitely a bummer, and could possibly be evil. Go check on Doof and see if he's bogarting those movies...uh, before 6:30 if possible. (Agent P raises his arms up, and a pair of mechanical arms give him his jet pack. He blasts off.)"
4,27,Linda,"Candace, I'm headed out."
4,27,Candace,"(trying to not sound suspicious) Okay, Mom."
4,27,Linda,What's with the box?
4,27,Candace,"Oh, uh, nothing. I just wanted to see what this stuff looked like outside."
4,27,Linda,"Candace, is this a ploy to get me to go outside to see what the boys are up to?"
4,27,Candace,"No!! Er, I mean, uh, no need. (pushing her mom out) Just go out and, uh, feel free to stay for a while. Stay out all afternoon in fact. Heh-heh, heh."
4,27,Linda,"Reverse psychology. Nice try, hon. Glad to see you changing it up. See ya later."
4,27,Candace,"Okay, bye."
4,27,Candace,So here's all the Jeremobilia I could find. (gives the box to Phineas) Now what?
4,27,Phineas,Cool! (Ferb gives Candace a camera) Now just go around town and take pictures of all the Jeremy-related places and things you can. The camera will transmit them back to us to incorporate into our mega-interactive scrapbook-aganaza.
4,27,Candace,"No problemo! Candace is on field duty, peace!"
4,27,Phineas,"I'm sorry, were you gonna say something? (Isabella shrugs.) Okay."
4,27,(Cut to,)
4,27,Doofenshmirtz,"(sighs, pauses the movie) Isn't that always the way? Right at the exciting part, that's when the doorbell rings...or, y'know, a platypus breaks it down. Anyway, behold the Worst-Fear-inator! (pause) What? (Doof tilts his head. POV shot from Doof as he sees the popcorn cart is blocking the inator.) Oh, yeah, I-I guess from your point of view, it's a little difficult to see. Lemme just get this outta the way for you. (He pushes the popcorn out out of the way.) There we go. Now, in my never-ending pursuit of domination, I discovered that the best evil rulers used fear to keep people in line. So to get into the right headspace, I did what any logical evil scientist would do: rented all the scary movies in Danville for research. Even the lousy ones like Dead Batteries, which is actually better than its prequel, Batteries That Work, which was...just a bunch of...portable electronic devices...functioning properly."
4,27,Doofenshmirtz,"(voiceover) Once I was terrified, I was able to analyze the fear-based synapses of the brain and extrapolate some wonderful data!"
4,27,Doofenshmirtz,"Basically, I shoot someone with the machine, and whatever they are afraid of actually appears...in real life! Whadaya say, Perry the Platypus? Ya like being a guinea pig? Actually, you'd look kinda cute as a guinea pig. I mean, I wonder if you'd be teal. I bet you would. I bet you'd be a cute little teal guinea pig. Something to think about for the future. Anyway, Perry the Platypus, let's fire this baby up and see what scares you. (He presses the button activating the inator.) 'Cause, y'know, it's gonna materialize right over there. (A green beam hits Perry.) Alright, so what are you afraid of, where is it? (looks around) What the hay? Nothing? (A business card slips through the ropes. Doof takes the card and reads it.) ""Perry the Platypus: O.W.C.A. agent - Fearless."" Huh. That figures. I guess you'll just hafta...hang around! Ha ha ha! Oh, wait, this one's better: I'll just leave you here because you're all tied up! Ha ha ha! W-W-Wait, one last one, you're gonna love it: See ya later because it isn't my tail that's upside down! (No response.) No? No no, I shoulda stuck with the first two, you're right."
4,27,Candace,"Ooh, score! That awning is the same color as Jeremy's eyes! (snaps the photo) Aaaand...daffodils! Just like the ones he gave me on our third date! (Snaps the flower.)"
4,27,Phineas,"Incoming. Perfect! Same color as Jeremy's eyes! Huh, flower. I'm drawin' a blank."
4,27,Ferb,"Daffodil, third date."
4,27,Phineas,"Riiiight...Now the machine will take the images, and print them into giant scaled-up form."
4,27,Buford,Nice touch! Smells like my grandma!
4,27,Phineas,I thought your grandma smelled like ant pheromones.
4,27,Buford,"Naw, that's the other one."
4,27,Phineas,These should really make Jeremy's Birthday Scrapbook-aganza a full sensory experience!
4,27,Buford,"(sarcastically) Great, just what I always wanted: to fully sense Jeremy."
4,27,Candace,"Okay, what else? Ah! (She walks up to a couple drinking outside a French café. She takes the man's mug.) 'Scuse. Hot cocoa! (Snaps the mug and sips.) Not bad, although Jeremy prefers it with a little more cinnamon. (Walks away.) I gotta make a note of that for the boys."
4,27,Man,"I guess my fortune came true. ""You will share your cocoa with a long-necked teenager."" See? Right there."
4,27,Woman,"Mine just says, ""Your boyfriend's gonna get a fortune cookie at a French café."""
